, TTR, Mean word rank, Mean naming RT, AoA
,Native,,,
avg,0.326136006,2107.446149,606.328857,5.254310191
min,0.140585563,1120.99887,596.812906,4.723523741
max,0.436933386,4302.767968,620.4321445,6.271072184
stddev,0.029726685,408.0756998,2.975040708,0.172756299
,non-native,,,
avg,0.31682601,2096.682864,605.8480902,5.254638162
min,0.164351852,902.3219854,596.7846476,4.726887003
max,0.45468393,3944.253995,619.6895154,7.089201558
stddev,0.031337692,422.8454665,2.996994338,0.174634227
,,,,
stat,13.76325217,1.16957335,7.26977541,-0.085255593
p-value,1.27E-42,0.242206902,3.93E-13,0.932060288
